  Time     Slices  Users
 1.00424      1      1
 1.04843      2      2
 1.12951      3      3
 1.13726      4      4
 1.21053      5      5
 1.34167      6      8
 1.43451      7     10
 1.47061      8     11
 1.50553      9     12
 1.54201     10     13
 1.56034     11     14
 1.63934     12     15
 1.65655     13     16
 1.73311     14     17
 1.86319     15     21
 2.05534     16     24
 2.16653     17     26
 2.20476     18     27
 2.32381     19     28
 2.37264     20     31
 2.38569     21     32
 2.41809     22     33
 2.41843     23     34
 2.62051     24     36
 2.67865     25     37
 2.70803     26     38
 2.83129     27     39
 2.85431     28     40
 2.90381     29     41
 3.08306     30     43
 3.09403     31     44
 3.22633     32     49
 3.24889     33     51
 3.25359     34     52
 3.26661     35     54
 3.41425     36     57
 3.45486     37     59
 3.48651     36     58
 3.49295     37     60
 3.59561     38     63
 3.72975     39     64
 3.78900     40     66
 3.84744     41     71
 3.87013     42     72
 3.98849     43     74
 4.01833     44     75
 4.12629     45     77
 4.13556     46     78
 4.30610     47     86
 4.38007     48     87
 4.50508     49     96
 4.53042     50     97
 4.95541     51    102
 5.00465     50    102
 5.18314     49    104
 5.65456     50    118
 6.06732     51    125
 6.09121     52    126
 6.11092     53    129
 6.23936     54    132
 6.42674     55    134
 6.43637     56    135
 6.54318     57    138
 6.56721     58    139
 6.60478     59    140
 6.75174     60    143
 6.93363     61    150
 7.13130     62    155
 7.27586     63    157
 7.45241     64    162
 7.56258     65    166
 7.63410     66    167
 7.63623     67    168
 8.22187     68    183
 8.22951     69    185
 8.44625     70    192
 8.74003     71    197
 9.06678     72    208
 9.65699     73    220
 9.81459     74    221
 10.0438     75    230
 10.3102     76    233
 10.3495     77    235
 10.7256     78    248
 10.8452     79    254
 14.4301     78    256
 15.2222     77    256
 47.5566     76    256
 54.3037     77    257
 54.8496     78    257
 55.3999     79    257
 66.7394     80    257
 69.4439     81    257
 83.3344     80    256
 87.5134     79    256
 88.3744     80    257
 88.5193     79    256
 90.3315     78    256
 90.8564     79    257
 91.4914     80    257
 99.6749     81    257
 104.711     82    257
 127.232     81    256
 129.698     80    256
 129.698     81    257
 143.824     82    257
 145.162     83    257
 153.073     82    256
 154.870     83    257
 180.438     82    256
 194.200     81    256
 206.865     80    256
 236.006     81    257
 239.382     82    257
 240.890     81    256
 247.478     82    257
 265.329     83    257
 266.891     82    256
 268.503     81    256
 274.570     80    256
 274.570     81    257
 287.412     82    257
 293.463     81    256
 302.932     82    257
 311.103     83    257
 313.217     84    257
 346.163     85    257
 359.621     84    256
 386.568     85    257
 387.459     84    256
 396.926     85    257
 400.496     86    257
 422.736     87    257
 424.271     88    257
 425.205     89    257
 433.860     88    256
 433.901     87    256
 439.413     88    257
 439.621     89    257
 447.625     90    257
 461.061     91    257
 470.838     90    256
 470.838     91    257
 482.000     92    257
 482.280     91    256
 484.721     92    257
 503.835     91    256
 503.835     92    257
 504.633     93    257
 523.519     92    256
 529.248     91    256
 541.757     90    256
 552.082     89    256
 558.447     88    256
 573.505     87    256
 581.308     88    257
 584.213     89    257
 585.777     90    257
 592.526     91    257
 599.678     90    256
 631.983     91    257
 637.527     92    257
 640.575     93    257
 641.444     92    256
 644.936     91    256
 675.011     92    257
 677.942     93    257
 680.680     92    256
 682.278     91    256
 683.152     90    256
 683.152     91    257
 687.563     92    257
 709.812     93    257
 709.885     92    256
 714.119     91    256
 720.281     92    257
 724.583     93    257
 729.361     92    256
 730.800     93    257
 739.116     92    256
 749.075     93    257
 752.288     92    256
 757.065     93    257
 763.537     92    256
 772.413     91    256
 795.273     90    256
 806.973     89    256
 812.235     90    257
 814.434     89    256
 819.417     90    257
 829.743     91    257
 831.302     90    256
 854.063     89    256
 857.925     88    256
 879.285     87    256
 882.393     88    257
 885.871     87    256
 893.122     86    256
 903.145     85    256
 909.594     84    256
 909.594     85    257
 919.512     84    256
 927.499     85    257
 935.039     84    256
 936.535     83    256
 937.318     82    256
 954.508     83    257
 955.153     84    257
 981.281     83    256
 981.386     82    256
 983.020     83    257
 1008.30     82    256
 1012.32     81    256
 1013.50     80    256
 1030.28     81    257
 1033.08     82    257
 1065.09     81    256
